1235,1,1,1,1,1,0,0,0,0,1,0,3,1,2,8,1
1691,0,0,0,0,0,1,4,2,1,10,0,0,0,0,2,0
1823,1,1,1,1,0,0,0,0,0,0,1,4,1,1,9,1
1682,1,0,1,0,0,1,0,0,2,2,0,4,2,0,9,1
1397,0,1,1,0,0,0,2,0,2,3,1,1,1,0,5,1
1375,0,0,1,0,1,1,3,0,2,6,0,0,0,0,1,0
1470,0,1,1,0,0,0,2,0,1,1,1,1,1,0,8,1
828,1,1,1,1,1,0,0,0,0,0,0,2,1,1,7,1
1746,1,0,0,0,0,2,3,1,1,7,0,1,0,0,4,0
1357,0,1,1,1,1,0,2,0,0,1,1,1,2,1,10,1
1651,0,0,0,1,0,1,4,2,0,9,0,0,0,2,5,0
1280,1,0,1,1,0,1,0,0,0,0,0,2,1,1,8,1
1676,1,1,0,0,0,0,2,2,2,11,0,2,0,0,1,0
1572,1,1,1,1,1,0,0,0,0,2,0,3,2,1,8,1
926,0,1,1,0,0,0,1,0,1,4,0,0,0,0,1,0
1824,1,1,1,1,0,0,4,1,1,7,1,1,1,1,7,0
1839,1,1,0,1,0,0,2,1,0,7,0,3,0,1,2,0
1121,0,1,1,1,0,0,2,0,0,4,0,0,0,0,1,0
2049,1,1,1,0,1,0,1,0,1,5,2,4,2,0,10,1
1567,1,0,0,1,1,1,2,1,0,10,0,2,0,2,1,0
2073,1,1,1,1,1,0,1,0,1,3,1,4,1,1,7,1
2241,0,1,0,0,0,0,3,4,2,8,1,3,1,0,6,1
1698,0,1,1,0,0,0,1,0,1,1,1,2,4,1,11,1
1593,1,1,0,0,0,0,1,1,1,9,0,3,0,0,5,0
1571,1,1,1,0,1,0,1,0,2,4,1,3,1,0,5,1
1626,0,0,0,0,0,1,3,2,1,9,0,0,0,1,0,0
2290,0,1,0,1,0,0,4,3,1,10,1,1,0,1,3,0
1139,1,1,1,1,1,0,1,0,0,0,0,1,3,1,11,1
1448,1,0,0,0,1,1,0,1,2,7,0,1,0,0,2,0
1322,1,1,1,1,1,0,0,0,0,1,0,2,1,1,7,1
2191,1,0,1,1,0,1,0,0,0,4,1,5,1,1,5,1
1381,0,0,1,1,0,1,2,0,1,4,0,0,0,1,2,0
1703,1,1,1,1,1,0,0,0,0,2,1,4,3,1,11,1
1117,0,1,1,0,0,0,2,0,1,6,0,0,0,0,0,0
2043,1,1,1,1,1,0,1,1,0,5,2,5,5,1,11,1
2364,1,1,1,1,0,0,3,0,0,4,2,3,1,1,7,1
1954,1,0,0,1,1,2,2,1,0,7,0,3,0,2,3,0
963,1,1,1,0,1,0,0,0,1,1,0,2,0,0,2,1
1241,0,1,0,0,0,0,2,2,2,9,0,0,0,0,1,0
1362,1,1,0,1,1,0,2,1,1,8,0,1,0,1,3,0
2259,1,0,0,1,0,3,1,3,0,9,0,4,0,2,4,0
1864,0,1,1,0,0,0,3,0,1,3,1,2,2,0,10,1
1956,0,0,0,0,1,2,2,1,2,8,0,2,0,0,3,0
2022,1,1,1,1,1,0,2,0,1,2,1,3,1,1,10,1
1444,0,1,1,0,1,0,2,0,1,2,1,1,1,0,6,1
1527,1,1,1,1,0,0,0,0,0,2,1,4,2,2,9,1
1708,0,1,0,1,0,0,4,1,0,8,0,0,0,1,2,0
1308,1,1,1,1,1,0,2,0,0,0,0,1,2,2,10,1
963,1,1,1,1,1,0,0,0,0,0,0,2,1,1,7,1
1129,1,1,0,0,1,0,1,2,2,9,0,1,0,0,0,0
1461,1,0,1,0,1,1,1,0,1,4,0,2,0,0,2,0
1019,1,1,1,0,1,0,1,0,1,2,0,1,0,0,1,0
1400,1,1,1,1,1,0,0,0,0,0,0,2,2,2,10,1
1660,0,0,1,0,1,1,1,0,1,1,0,3,2,1,8,1
1687,1,1,0,1,1,0,2,1,1,8,0,2,0,1,2,0
1793,1,0,0,0,0,1,2,2,2,11,0,2,0,0,3,0
1745,1,0,0,1,0,1,3,2,0,10,0,1,0,2,3,0
1946,0,0,0,1,1,1,2,2,0,9,0,2,0,1,3,0
1344,1,1,1,1,1,0,0,0,0,1,1,2,1,1,5,1
1778,0,1,1,1,1,0,3,0,0,2,2,1,2,2,10,1
1567,0,0,0,1,1,1,4,2,1,9,0,0,0,1,3,0
1878,1,1,0,0,0,0,3,4,1,10,1,1,1,0,8,1
1488,0,1,1,1,1,0,1,0,0,1,1,1,1,2,7,1
1984,0,1,1,1,0,0,4,0,1,3,1,1,2,1,10,1
1576,1,0,1,1,1,1,0,1,0,5,0,4,1,2,7,1
1480,1,1,1,0,0,0,0,0,1,1,1,3,2,0,9,1
2393,0,1,1,1,1,0,3,0,0,4,3,3,2,0,9,1
1260,0,1,0,0,0,0,2,1,2,8,0,0,0,0,0,0
1706,1,1,1,0,0,0,0,0,2,5,1,4,2,0,9,1
1321,1,1,1,1,1,0,0,0,0,0,0,3,0,2,5,1
1135,1,1,1,1,1,0,0,0,0,0,0,2,0,1,6,1
1596,0,1,1,0,1,0,1,0,1,4,1,3,1,1,8,1
1283,1,1,1,1,0,0,2,0,1,3,0,1,0,1,1,0
1349,1,0,1,1,1,1,1,0,0,5,0,1,0,1,1,0
1891,1,0,1,0,1,1,3,0,1,6,1,2,1,0,8,1
951,1,1,1,1,1,0,0,0,0,0,0,1,0,0,3,1
1535,1,1,1,0,0,0,0,0,2,3,1,2,1,0,7,1
1485,0,1,1,0,1,0,1,0,1,3,1,3,0,0,3,1
1827,1,1,1,1,0,0,3,0,0,3,1,1,2,1,9,1
1965,0,1,0,0,1,0,2,1,2,8,1,2,1,0,6,1
1631,0,1,1,0,0,0,2,0,1,3,1,2,0,0,6,1
1458,0,0,0,0,1,1,3,2,2,9,0,0,0,0,2,0
1548,1,1,0,1,1,0,2,1,0,5,0,2,0,2,3,0
1598,0,0,0,0,1,1,4,2,2,10,0,0,0,0,0,0
