match_duration, first_dragon, first_baron, first_inhibitor, first_rift_herald, first_blood, bteam_baron_kills, bteam_dragon_kills, bteam_inhibitor_kills, bteam_rift_kills, bteam_tower_kills,bteam_largest_killing_spree, bteam_largest_multi_kill, bteam_highest_champ_lvl, bteam_best_kda, bteam_total_kills, bteam_total_assists, bteam_total_gold_earned, bteam_total_gold_spent, bteam_vision_score, bteam_wards_placed, bteam_wards_killed, bteam_total_minions_killed, bteam_total_dmg_dealt, bteam_total_dmg_dealt_to_champions, bteam_total_dmg_taken, bteam_total_dmg_healed, bteam_total_dmg_self_mitigated, bteam_total_crowd_control_dealt, rteam_baron_kills, rteam_dragon_kills, rteam_inhibitor_kills, rteam_rift_kills, rteam_tower_kills, rteam_largest_killing_spree, rteam_largest_multi_kill, rteam_highest_champ_lvl, rteam_best_kda, rteam_total_kills, rteam_total_assists, rteam_total_gold_earned, rteam_total_gold_spent, rteam_vision_score, rteam_wards_placed, rteam_wards_killed, rteam_total_minions_killed, rteam_total_dmg_dealt, rteam_total_dmg_dealt_to_champions, rteam_total_dmg_taken, rteam_total_dmg_healed, rteam_total_dmg_self_mitigated, rteam_total_crowd_control_dealt, winning_team
1941,1,1,0,0,1,0,1,1,2,5,3,2,16,4.166666666666667,37,62,63138,60366,165,78,21,666,659274,102002,163252,29399,121509,867,1,3,1,0,5,8,3,18,5.6,46,80,67222,61750,151,67,24,670,713112,133489,137349,44468,118396,831,1
1672,1,0,0,1,1,1,1,1,0,8,7,2,16,7.5,25,47,55858,48870,145,75,23,643,654410,81251,100839,48544,96464,1333,0,3,0,1,2,3,2,14,4.0,21,37,48033,46135,175,60,35,574,539530,69657,103317,30146,81244,1396,0
1425,1,1,1,0,0,0,0,0,1,3,4,2,12,3.0,23,41,44169,40435,122,51,18,469,398173,64820,110144,35264,78204,858,1,3,1,1,7,12,3,15,12.0,34,58,51524,42815,112,53,9,474,511388,89881,84086,20327,68058,1426,1
1733,1,0,0,0,0,2,1,1,1,9,8,3,17,10.0,29,50,59702,53850,182,98,13,640,656533,97717,98671,29273,66790,910,0,2,0,0,2,5,2,15,4.25,22,45,50069,48175,164,49,35,601,542273,72767,126517,53109,87231,1160,0
1596,0,0,0,0,1,1,2,2,2,10,4,2,16,6.0,29,71,58462,51133,132,58,19,634,620475,72852,103142,41825,93765,1004,0,1,0,0,0,5,3,15,3.0,23,24,48236,45400,130,52,21,632,522433,71711,91298,15935,71376,870,0
1407,0,1,1,0,0,0,1,0,1,3,3,2,13,4.0,18,25,40718,40230,116,72,26,494,384118,49575,86996,21376,60947,896,1,2,0,0,6,5,3,14,10.0,23,36,46776,41138,178,75,40,528,399889,69825,63473,20167,41158,390,1
1545,1,0,0,1,0,1,3,1,1,10,9,2,16,15.0,27,41,52735,44538,130,47,20,562,553248,70462,72654,25850,66753,900,0,1,0,1,0,3,1,14,1.4285714285714286,14,14,39987,37825,126,55,13,553,428240,46887,88404,17341,67687,794,0
2106,1,1,0,0,0,1,4,3,1,11,6,2,17,7.25,43,99,72287,63548,245,97,36,685,804229,129473,121260,40676,135562,818,1,1,0,0,5,5,2,17,3.4,24,51,64463,64660,241,105,37,760,726568,94042,151232,23717,124805,930,0
1630,1,1,1,0,0,0,0,0,1,1,4,2,15,3.0,25,30,49564,47338,133,58,27,569,525855,72181,125338,37451,71799,1169,1,3,0,0,5,7,2,17,5.666666666666667,35,44,55665,55530,153,63,30,625,577224,96996,97996,27763,82961,1083,1
1482,0,1,0,0,0,0,3,2,2,10,6,2,15,10.0,20,26,48848,41883,124,50,15,578,521319,45647,75448,29827,51151,649,0,0,0,0,2,0,1,13,1.6666666666666667,8,14,39001,35078,104,44,13,603,472549,52757,62151,16311,39544,681,0
1536,1,1,1,1,1,0,0,0,0,1,5,2,13,4.0,27,47,47361,45383,162,79,23,469,407431,80107,109292,21470,54749,718,1,4,1,1,8,4,3,15,6.25,39,56,54845,51093,137,63,27,488,508948,91642,108869,27466,88346,972,1
1807,1,0,1,1,1,2,1,3,0,11,4,2,17,7.0,30,39,61528,58575,179,78,23,642,711365,75093,125826,42839,93535,831,0,3,1,1,5,4,2,15,3.75,25,47,54587,50675,196,76,24,606,604249,86249,97616,28481,68950,909,0
1718,0,0,0,0,0,2,3,2,2,7,7,2,17,8.5,41,60,61792,56333,156,73,13,564,623942,108695,118880,41354,111363,1912,0,0,0,0,2,2,2,16,4.333333333333333,19,26,48966,47810,147,71,20,643,562715,91060,136768,40263,86696,1284,0
976,1,1,1,0,0,0,1,0,1,3,5,2,12,12.0,25,26,35609,28833,80,36,9,424,290309,38970,45853,13314,24891,918,0,1,0,0,0,0,1,11,1.0,7,7,25909,22885,53,25,6,380,234778,27766,48960,7337,28881,529,0
1617,1,0,0,0,0,1,2,2,2,10,10,3,16,10.0,35,42,57749,48703,169,67,27,591,589682,88774,101557,34219,74354,550,0,1,0,0,0,4,2,15,2.5,23,30,46100,44800,150,71,20,564,465118,75154,108393,27224,62722,492,0
2141,0,1,1,1,1,0,2,0,1,3,5,3,16,3.142857142857143,29,49,64000,63435,215,86,37,693,719426,98680,128270,24870,112025,1023,1,4,2,1,10,8,2,17,7.333333333333333,41,55,69763,60700,200,84,33,619,692452,102154,123452,31251,106217,735,1
1521,1,1,1,0,0,0,0,0,1,0,5,1,15,6.0,8,6,40648,37700,107,55,20,692,489829,29279,56973,13819,40673,598,0,3,0,0,3,3,2,15,11.0,14,25,45932,39825,161,64,24,675,586389,36703,56807,20482,39140,890,1
2317,0,1,0,1,1,1,4,2,1,11,6,2,18,8.666666666666666,35,65,73917,65950,200,109,19,816,991606,151916,147033,39269,190562,1074,1,2,0,1,4,5,4,17,4.6,30,71,66706,64883,191,68,35,697,827140,120564,178896,52915,216640,2004,0
1605,0,0,1,0,0,1,2,0,1,3,3,2,15,3.2,24,34,47870,45505,134,63,14,537,431823,63899,99378,15907,65073,549,0,2,1,0,7,13,4,15,5.666666666666667,33,49,54369,47905,128,44,22,562,551082,82180,92352,25929,79750,801,1
2566,1,0,0,0,1,1,2,5,1,11,4,2,18,5.2,39,78,80250,82900,255,99,34,852,975254,136573,168961,37335,172442,2296,3,4,0,0,3,10,2,18,4.75,35,61,84828,83226,250,102,34,1044,1333122,138067,182785,36516,181688,1081,0
2150,1,0,0,0,0,2,3,2,2,7,7,3,17,3.5714285714285716,40,77,72445,71610,276,117,47,735,815558,124159,159428,30347,150791,1234,0,2,1,0,9,13,3,18,6.75,41,75,75842,67818,220,111,44,872,975015,125517,159478,51208,122482,1328,1
1364,1,1,1,1,1,0,1,0,0,0,3,2,13,3.0,18,34,39890,36950,94,46,16,487,378565,60504,77693,15699,49171,582,0,2,1,1,8,4,2,14,11.5,30,50,47542,41903,119,51,20,536,427074,61986,82194,38063,62205,842,1
1426,1,1,1,1,0,0,1,0,0,1,3,1,12,3.0,12,20,38865,36430,119,58,11,499,361726,50869,74994,11360,51240,666,1,3,2,2,10,7,4,15,17.0,28,43,54011,51376,113,49,20,499,451724,57660,79660,35390,50755,912,1
1464,1,1,0,0,0,0,2,2,2,10,4,2,14,12.0,26,47,48618,42475,128,61,20,510,462496,66296,78630,32403,62623,1133,0,1,0,0,0,2,2,13,1.4,11,16,38557,36265,123,58,22,540,433467,51838,84796,20119,49389,842,0
